77.53 79.41 81.74     91.717 2
76.76 78.36 83.74      8.398 2
78.64 80.53 83.88     12.941 2
76.59 79.97 83.53     33.158 2
76.27 78.67 82.40    358.625 2
76.53 78.64 83.63      6.929 2
74.11 79.39 82.58     29.838 2
80.39 80.23 84.03     33.221 2
77.49 79.79 83.23     20.015 2
74.87 75.94 80.49      5.678 2
